Date,Temperature [Fahrenheit],DewPoint [Fahrenheit],Humidity [%],SeaLevelPressure [inches],Wind [mph],DayOfWeek,Month
2015-01-24,50,36.0,62.0,30.2,4.0,5,1
2015-01-25,57,34.0,53.0,30.11,6.0,6,1
2015-01-26,60,37.0,43.0,30.21,5.0,0,1
2015-01-27,67,40.0,47.0,30.15,6.0,1,1
2015-01-28,62,42.0,60.0,30.12,4.0,2,1
2015-01-29,66,49.0,68.0,30.22,4.0,3,1
2015-01-30,53,36.0,52.0,30.37,6.0,4,1
2015-01-31,56,51.0,80.0,30.04,4.0,5,1
2015-02-01,59,54.0,77.0,29.98,7.0,6,2
2015-02-02,41,24.0,48.0,30.35,6.0,0,2
2015-02-03,42,37.0,76.0,30.27,2.0,1,2
2015-02-04,49,45.0,92.0,30.13,2.0,2,2
2015-02-05,45,35.0,77.0,30.38,7.0,3,2
2015-02-06,49,38.0,69.0,30.37,3.0,4,2
2015-02-07,55,46.0,71.0,30.08,5.0,5,2
2015-02-08,68,56.0,72.0,29.9,6.0,6,2
2015-02-09,68,44.0,49.0,30.07,3.0,0,2
2015-02-10,64,44.0,57.0,29.99,4.0,1,2
2015-02-11,65,49.0,64.0,30.03,5.0,2,2
2015-02-12,53,34.0,51.0,30.35,7.0,3,2
2015-02-13,55,38.0,58.0,30.31,2.0,4,2
2015-02-14,63,47.0,60.0,30.22,3.0,5,2
2015-02-15,63,58.0,80.0,30.02,5.0,6,2
2015-02-16,51,39.0,79.0,30.03,9.0,0,2
2015-02-17,45,27.0,59.0,30.25,7.0,1,2
2015-02-18,49,29.0,56.0,30.31,4.0,2,2
2015-02-19,54,40.0,61.0,30.25,5.0,3,2
2015-02-20,65,56.0,72.0,29.92,9.0,4,2
2015-02-21,67,56.0,69.0,29.88,6.0,5,2
2015-02-22,47,44.0,80.0,30.14,7.0,6,2
2015-02-23,34,29.0,87.0,30.45,9.0,0,2
2015-02-24,34,29.0,84.0,30.24,4.0,1,2
2015-02-25,49,34.0,64.0,29.94,3.0,2,2
2015-02-26,43,31.0,74.0,30.19,7.0,3,2
2015-02-27,34,25.0,72.0,30.38,7.0,4,2
2015-02-28,34,31.0,93.0,30.31,5.0,5,2
2015-03-01,39,38.0,95.0,30.29,6.0,6,3
2015-03-02,42,40.0,95.0,30.28,4.0,0,3
2015-03-03,52,49.0,95.0,29.98,1.0,1,3
2015-03-04,52,56.0,95.0,29.9,6.0,2,3
2015-03-05,39,25.0,61.0,30.45,10.0,3,3
2015-03-06,42,23.0,54.0,30.56,2.0,4,3
2015-03-07,49,30.0,56.0,30.4,2.0,5,3
2015-03-08,51,48.0,69.0,30.17,3.0,6,3
2015-03-09,52,49.0,97.0,29.96,4.0,0,3
2015-03-10,57,50.0,78.0,30.04,4.0,1,3
2015-03-11,57,50.0,79.0,30.2,6.0,2,3
2015-03-12,63,52.0,73.0,30.1,5.0,3,3
2015-03-13,66,52.0,68.0,30.0,3.0,4,3
2015-03-14,66,49.0,61.0,30.1,6.0,5,3
2015-03-15,60,51.0,72.0,30.26,3.0,6,3
2015-03-16,65,56.0,73.0,30.21,3.0,0,3
2015-03-17,70,63.0,82.0,30.11,3.0,1,3
2015-03-18,71,61.0,74.0,29.99,4.0,2,3
2015-03-19,73,64.0,79.0,29.95,5.0,3,3
2015-03-20,64,61.0,89.0,30.09,4.0,4,3
2015-03-21,58,56.0,95.0,30.08,4.0,5,3
2015-03-22,68,57.0,75.0,30.03,4.0,6,3
2015-03-23,66,56.0,73.0,30.06,3.0,0,3
2015-03-24,71,60.0,72.0,29.97,7.0,1,3
2015-03-25,73,61.0,72.0,29.91,8.0,2,3
2015-03-26,62,48.0,62.0,30.03,10.0,3,3
2015-03-27,64,36.0,44.0,30.15,4.0,4,3
2015-03-28,66,44.0,54.0,30.08,5.0,5,3
2015-03-29,71,56.0,67.0,30.06,8.0,6,3
2015-03-30,72,62.0,76.0,30.11,5.0,0,3
2015-03-31,74,62.0,74.0,30.0,7.0,1,3
2015-04-01,76,65.0,71.0,29.92,7.0,2,4
2015-04-02,76,66.0,76.0,29.9,8.0,3,4
